completion	prompt
He is too! His truck's gonna come around the corner riiight now. Right now. Right now. Now. Now. Nnnnnnnnow. Now.	Ray's not coming!
Now. Now. Nnnow.	He is too! His truck's gonna come around the corner riiight now. Right now. Right now. Now. Now. Nnnnnnnnow. Now.
Oh thank God. Where is he? Tell me!	Homer, I know where Ray is.
Ray wouldn't fit in my head -- he's a human man.	Sweetheart, your friend Ray is in your head.
Yes he does. He's on his way and when he gets here, we'll have ever so much fun! You'll see!	You have to understand -- Ray doesn't exist.
Ha-ha-ha-ha-ha, how we'll laugh!	Yes he does. He's on his way and when he gets here, we'll have ever so much fun! You'll see!
Ha-ha-ha-ha-ha! Ha-ha-ha-ha-ha...	Homer!
What's going on? Where are my shoes?	Ha-ha-ha-ha-ha! Ha-ha-ha-ha-ha...
What am I doing here? Let me go!	Excuse us for a moment.
Fine, I admit it. Help me, Ray! Appear and strike them down!	We'll let you go when you admit there is no Ray Magini.
But that's not true, Bart saw him at the Builder's Barn.	Homer, no one has ever seen Ray but you.
Flanders, you saw Ray on the roof with me!	I saw you talking to yourself.
Ned, are you okay?	Sorry, Homer. You'll have to call me a Ray-theist, 'cause I don't believe I saw him.
There has to be someone who saw him -- someone who doesn't hate me like Flanders and Bart... Wait! The bartender at Knockers.	Ned, are you okay?
Wow. My subconscious is a genius. Well, that's all very convincing, and...	"And here's the clincher... Ray Magini is an anagram for ""imaginary."""
Well, that's a world of difference. Light me up, doc!	Actually, the technical term is electroconvulsive therapy.
Aw, what did he die of?	When you're gettin' juiced, can you hold my turtle? I wanna bring him back to life.
Sorry. Give me one that doesn't taste so good.	Homer, that's just to bite on, not to eat--
Marge, write that down so we can have it at home.	That was rubber covered in Vaseline!
Nope, just you, Marge and Yogi Bear. Kidding!	Do you see anyone here who isn't here?
Not real.	Real.
Real.	Not real.
Real.	Real.
Fascinating!	Oh sorry, Homer. But recent historical evidence indicates that Robin Hood did not actually exist.
Oh kids, I heart you, too!	Dad!
Man, I'm glad to be off that electro-shock table. Although to be honest, I did enjoy lying down.	Oh kids, I heart you, too!
It's Ray! I see him again! Monster! You don't exist.	Hello, Homer.
The awesome power of the human mind.	Hey, no one calls me a monster and questions my existence!
So, Ray does exist?!	Check and mate.
Wait a minute. I went through a lot of pain and suffering because of this little misunderstanding. Somebody owes me big!	Yeah, yeah, yeah, we're all crooks. It's true.
That's a given! There's something else. Something much more else.	Well, Homer, I could make it up to you... maybe a free eye-scraping.
Not if those gutters aren't clean, you don't.	Homer, can I please knock off? I've got surgery in the morning.
What are you talking about?	So as I was saying, Homer, Mondays, nine o'clock, CBS. They say everybody loves that guy, but I don't get it.
What time's the show on?	Hey, I'm just sayin', catch it while you still can.
And what's the network?	It's Monday, nine o'clock, CBS.
At what time?	CBS.
And if I wanna watch it, what day?	Nine o'clock.
And this is on the radio?	Monday. Monday, nine o'clock.
And if I wanna see it, what time should I watch it?	No, television. Mondays at nine. On CBS.
On what channel?	Nine o'clock.
What day?	CBS.
On the radio?	Monday.
Turn the television to what channel?	Television.
At what time?	CBS.
Now if I wanted to see it on a certain day, what would be the best day to see it?	Nine o'clock on Monday.
And what time? Would be a good time to see it?	It's only on on Monday.
So if I turn my radio on at nine o'clock...	Nine o'clock. It's from nine to nine thirty.
So it's Mondays at nine, on NBC.	Not the radio, television.
CBS.	CBS.
On the radio.	Nine o'clock.
Television at three o'clock.	Television.
Marge, no machine could ever replace you. Why you-- or could it?	Oh, so I've been replaced by a machine?
Marge-bot! I'm ready for some lovin'!	Marge, no machine could ever replace you. Why you-- or could it?
Why did I give her a gun? But I repeat: no one is being replaced by a machine. Until all the kinks are worked out.	Marge-bot! I'm ready for some lovin'!
Aw, my little boy's in love.	My heart! It hurts so much! Like it's caught in a vice!
C'mon, son. You can fight this. Do the Bartman. Do the Bartman!	I think he's having a heart attack!
Why don't you dance? Dance?!	C'mon, son. You can fight this. Do the Bartman. Do the Bartman!
Doctor, little kids aren't supposed to have heart attacks. They're supposed to skin their knees, and poke their eyes out, and be smothered by cats.	Why don't you dance? Dance?!
"You get better, son. Meanwhile, the rest of us will be going to the ""library."""	It's graffiti you can eatie!
Milkshake Festival. Look, you can see the booths from your window.	Where are you really going?
Lisa, take a picture of me with all the milkshakes. C'mon, everybody get in here. Hurry.	I'd better tell Dad.
Overeating. And if there's time, we'll get to my drinking. But there won't be time.	Uh son, we're here to help with your... which addict-a-diddily-diction are we goin' after here?
Wow, he's just the kind of weirdo Bart needs.	Even on the nose hurts!
Son, I just wanna leave you with a piece of advice -- become emotionally dead. Leave your body. Make lots of friends!	"Tough love? Of course, this has never made sense! The sign shop guy lied. Stanley! You didn't question the word ""luck?"" Now look what we've got. Thanks for the correction, that's part of the honesty."
That freeloading fatso! Marge, could you cut back on your makeup budget?	Jimminy Kimmel! Look how much they're charging for Bart's treatment!
So that's where my soot went!	I already use crayons for lipstick, and fireplace soot for eyeliner.
Even better, I'll ask him for my job back.	This fat camp can save Bart's life -- we have to find a way to pay for it. Homer, maybe you could ask Mr. Burns for a raise.
Youth? I hate them. Secondly...	I know how we can raise money!
How much is got, Wolfgang Schmuck?	How much is costed for stay-night-of-one?
Fifty dollars? What about all the water you guys will waste with your bathing and showering and washing your clothes?	Let's see here. I can offer you uh, fifty dollars a week.
Güten abend, my brave, Bavarian Overlords. The best wurst in town.	Come on, let's look for your Dad. Then if we have some time, maybe we'll look for mine.
NEUNUNDNEUNZIG LUFTBALLONS / AUF IHREM WEG ZUM HORIZONT / HIELT MAN FUER UFOS AUS DEM ALL / DARUM SCHICKTE EIN GENERAL /	Here's your tip, Baldylocks. If you want it, dance and sing.
EINE FLIEGERSTAFFEL HINTERHER / ALARM ZU GEBEN, WENN ES SO WAR / DABEI WAR DA AM HORIZONT / NUR NEUNUNDNEUNZIG LUFTBALLONS	They want a second verse. I hope he knows it.
Did you hear that Foxy, the Fox network Fox?	Not for long -- I'm saying goodbye to Scammer and Z-Dog. I've learned that even made-up corporate shills can lie to you.
Oh boy.	When I raged against the machine, money poured out.
Marge, I know this is ill-gotten, but can we use it to...	Oh boy.
Time to take out the Euro-trash.	Uh, please to have new facecloth. Schnell.
Now, everything's perfect again.	To Disneyland! Where we will heap the scorn on Goofy!
But who else needs to lose weight? Maggie? Grampa? My seldom-seen half brother Herb?	Folks, you have three weeks left on a non-refundable weight-loss treatment. So if anybody else in the family wants to use it, use it now.
Why is everyone looking at me?	But who else needs to lose weight? Maggie? Grampa? My seldom-seen half brother Herb?
I am not too fat. I'm alive, aren't I?	Why is everyone looking at me?
Oh, that's terrible.	"""PSI"" -- Poor Self Esteem. It's not ""I."" Every sign is wrong!"
Where will I sleep?	We got a long drive ahead. You wanna pull off into a motel? We'll split a room.
Cheeseburger.	What are you eating now?!
I don't wanna.	You're a catastrophe. Lemme have half of it.
Here's a corner.	I just want the cheese, I don't want the meat. I do want the meat.
You're a selfish jerk.	I mean, just bite it, don't rip it. Lemme have the whole thing. You'll get some later.
But it's my burger.	I smelled it, it has to be eaten.
Fine. I'd rather die.	I'm driving. I'll kill us.
I need change for a dollar.	Call the police.
What's the cheapest thing you've got?	No change without purchase.
Five ninety-nine?! What a rip-off! Someone should shoot you!	A two ounce bag of chips. Five ninety-nine.
Interesting. It's like a corndog without the dog.	Maybe we could shop somewhere else. There's a farm stand next door.
I don't miss meat at all. This Portobello mushroom eats like a steak. A rubbery, fungus-like steak.	Vegetables, you've been promoted from side dish to entrée.
Marge, I'm giving birth to a food baby.	I don't miss meat at all. This Portobello mushroom eats like a steak. A rubbery, fungus-like steak.
I think it's staying down. It's staying down! It's not staying down.	It's 'cause your bodies are so used to processed food it's a shock when you eat vegetables full of vitamins, minerals and trace amounts of bug feces.
Wait. Yes, it's staying down. Oh no, it's not! Yes it is. No it's not! Yep. No. Yep. No! Yep. No! Yep. No. Yep. No. Yep. no.	I think it's staying down. It's staying down! It's not staying down.
